activity_type,self_report,activity_date,activity_id,operation_number,operation_id,operation_type,operation_name,location_address,mailing_address,county,type_of_issuance,issuance_date,conditions_on_permit,accepts_child_care_subsidies,total_capacity,licensed_to_serve_ages,corrective_action,adverse_action,temporarily_closed,programmatic_services,treatment_services,deficiency_high,deficiency_medium_high,deficiency_medium,deficiency_medium_low,deficiency_low,total_inspections,total_assessments,total_reports,total_self_reports,location_address_geo,related_violation,injury_detail
REPORT,N,2016-10-05,428418283,549391,165584,Licensed Center,Malaika's Academy,1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,DALLAS,Full Permit,09/27/2000,NO,Y,95,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",5t,4m
REPORT,N,2016-10-05,428418283,549391,165584,Licensed Center,Malaika's Academy,1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,DALLAS,Full Permit,09/27/2000,NO,Y,95,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",2r,4m
REPORT,N,2016-10-05,428418283,549391,165584,Licensed Center,Malaika's Academy,1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,DALLAS,Full Permit,09/27/2000,NO,Y,95,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",1f,4m
REPORT,N,2017-10-25,428424502,874676,318135,Licensed Center,Kids R Kids Cole's Crossing,14050 TELGE RD  CYPRESS TX- 77429 1837,14050 TELGE RD  CYPRESS TX- 77429 1837,HARRIS,Full Permit,02/25/2008,YES,Y,309,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,1,3,1,0,0,8,0,4,1,"14050 TELGE RD CYPRESS TX- 77429 1837
(29.980248, -95.653318)",2r,4m
REPORT,Y,2017-07-28,428411722,53391,95054,Licensed Center,Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,PO BOX 911  ATHENS TX- 75751 0911,HENDERSON,Full Permit,12/24/1986,NO,Y,180,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,17,5,6,0,1,26,0,7,9,"225 LOVERS LN ATHENS TX- 75751 2912
(39.172759, -123.215836)",4s,2a
REPORT,Y,2017-07-28,428411722,53391,95054,Licensed Center,Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,PO BOX 911  ATHENS TX- 75751 0911,HENDERSON,Full Permit,12/24/1986,NO,Y,180,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,17,5,6,0,1,26,0,7,9,"225 LOVERS LN ATHENS TX- 75751 2912
(39.172759, -123.215836)",1f,2a
REPORT,N,2016-03-14,428411359,25681,94401,Licensed Center,Central Christian Child Development Center,720 N MAIN AVE  SAN ANTONIO TX- 78205 1106,720 N MAIN AVE  SAN ANTONIO TX- 78205 1106,BEXAR,Full Permit,08/11/1987,NO,Y,117,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,5,2,0,0,7,0,2,2,"720 N MAIN AVE SAN ANTONIO TX- 78205 1106
(37.128319, -93.480176)",2r,4m
REPORT,N,2017-10-09,428412919,152450,97565,Licensed Center,Texarkana Special Education Center,6101 N STATE LINE AVE  TEXARKANA TX- 75503 5309,6101 N STATE LINE AVE  TEXARKANA TX- 75503 5309,BOWIE,Full Permit,01/10/1986,NO,N,168,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,0,3,0,0,24,0,2,13,"6101 N STATE LINE AVE TEXARKANA TX- 75503 5309
(33.481026, -94.043103)",2r,3i
REPORT,N,2017-10-09,428412919,152450,97565,Licensed Center,Texarkana Special Education Center,6101 N STATE LINE AVE  TEXARKANA TX- 75503 5309,6101 N STATE LINE AVE  TEXARKANA TX- 75503 5309,BOWIE,Full Permit,01/10/1986,NO,N,168,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,0,3,0,0,24,0,2,13,"6101 N STATE LINE AVE TEXARKANA TX- 75503 5309
(33.481026, -94.043103)",2r,6m
REPORT,Y,2016-10-26,428433777,1544977,1152648,Licensed Center,United Kidz Academy San Antonio,1211 N ELLISON DR  SAN ANTONIO TX- 78251,1211 N ELLISON DR  SAN ANTONIO TX- 78251,BEXAR,Full Permit,02/13/2015,NO,Y,200,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,19,3,0,1,20,0,7,3,"1211 N ELLISON DR SAN ANTONIO TX- 78251
(29.444943, -98.690232)",1f,2a
REPORT,Y,2016-08-16,428433774,1544977,1152648,Licensed Center,United Kidz Academy San Antonio,1211 N ELLISON DR  SAN ANTONIO TX- 78251,1211 N ELLISON DR  SAN ANTONIO TX- 78251,BEXAR,Full Permit,02/13/2015,NO,Y,200,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,19,3,0,1,20,0,7,3,"1211 N ELLISON DR SAN ANTONIO TX- 78251
(29.444943, -98.690232)",4s,9i
REPORT,Y,2017-05-03,428436176,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",5t,3i
REPORT,Y,2017-05-03,428436176,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",2r,3i
REPORT,N,2017-05-25,428436177,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",3s,9i
REPORT,N,2017-05-25,428436177,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",2r,9i
REPORT,N,2017-06-07,428436182,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",4s,8u
REPORT,N,2017-06-07,428436182,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",3s,8u
REPORT,Y,2017-03-31,428436175,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",,2a
REPORT,Y,2017-03-31,428436175,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",,4m
REPORT,Y,2017-03-31,428436175,1613296,1229439,Licensed Center,Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,Full Permit,09/27/2016,YES,Y,132,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,40,37,15,0,2,36,0,11,5,"11701 JACKSBORO HWY FORT WORTH TX- 76135 9192
",,7s
REPORT,N,2017-08-17,428417630,541113,159224,Licensed Center,Childworks,5115 F M 646 S  SANTA FE TX- 77510,5115 FM 646 RD S  SANTA FE TX- 77510 2073,GALVESTON,Full Permit,06/29/1999,NO,Y,161,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,12,15,4,2,1,21,0,9,2,"5115 F M 646 S SANTA FE TX- 77510
",2r,4m
REPORT,N,2017-08-17,428417630,541113,159224,Licensed Center,Childworks,5115 F M 646 S  SANTA FE TX- 77510,5115 FM 646 RD S  SANTA FE TX- 77510 2073,GALVESTON,Full Permit,06/29/1999,NO,Y,161,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,12,15,4,2,1,21,0,9,2,"5115 F M 646 S SANTA FE TX- 77510
",1f,4m
REPORT,N,2017-08-17,428417630,541113,159224,Licensed Center,Childworks,5115 F M 646 S  SANTA FE TX- 77510,5115 FM 646 RD S  SANTA FE TX- 77510 2073,GALVESTON,Full Permit,06/29/1999,NO,Y,161,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,12,15,4,2,1,21,0,9,2,"5115 F M 646 S SANTA FE TX- 77510
",2r,6m
REPORT,N,2017-08-17,428417630,541113,159224,Licensed Center,Childworks,5115 F M 646 S  SANTA FE TX- 77510,5115 FM 646 RD S  SANTA FE TX- 77510 2073,GALVESTON,Full Permit,06/29/1999,NO,Y,161,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,12,15,4,2,1,21,0,9,2,"5115 F M 646 S SANTA FE TX- 77510
",1f,6m
INSPECTION,,2017-09-25,428339162,541113,159224,Licensed Center,Childworks,5115 F M 646 S  SANTA FE TX- 77510,5115 FM 646 RD S  SANTA FE TX- 77510 2073,GALVESTON,Full Permit,06/29/1999,NO,Y,161,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,12,15,4,2,1,21,0,9,2,"5115 F M 646 S SANTA FE TX- 77510
",2r,4m
REPORT,Y,2017-04-05,428414701,254197- 765,110570,Licensed Center,Country Home Learning Center 6,8155 FREDERICKSBURG RD  SAN ANTONIO TX- 78229 3311,8155 FREDERICKSBURG RD  SAN ANTONIO TX- 78229 3311,BEXAR,Full Permit,01/25/1991,NO,Y,301,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,3,0,1,0,0,17,0,6,3,"8155 FREDERICKSBURG RD SAN ANTONIO TX- 78229 3311
(29.515416, -98.571434)",1f,2a
REPORT,N,2017-11-09,428413727,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",2r,4m
REPORT,Y,2016-02-01,428413721,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,4m
REPORT,Y,2016-02-01,428413721,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,7s
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,9i
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",1f,9i
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,2a
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",1f,2a
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,4m
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",1f,4m
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",4s,7s
REPORT,Y,2017-07-06,428413725,210759- 747,101367,Licensed Center,Kinder Care NO 1033,3410 GARTH RD  BAYTOWN TX- 77521 3810,3410 GARTH RD  BAYTOWN TX- 77521 3810,HARRIS,Full Permit,02/17/1986,YES,Y,145,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,8,1,5,0,0,13,0,4,4,"3410 GARTH RD BAYTOWN TX- 77521 3810
(38.106134, -78.612061)",1f,7s
REPORT,N,2016-07-05,428414347,240122,105728,Licensed Center,The Imani School,12401 S POST OAK RD  HOUSTON TX- 77045 2020,12401 S POST OAK RD  HOUSTON TX- 77045 2020,HARRIS,Full Permit,07/27/2000,YES,N,478,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,8,1,0,1,11,0,3,0,"12401 S POST OAK RD HOUSTON TX- 77045 2020
(29.645014, -95.463586)",4s,2a
