NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_NAME,OPERATION_ID,NON_COMPLIANCE_ID,LOCATION_ADDRESS
"Information obtained during investigation revealed that caregivers did not demonstrate good judgment  when allowing children to play on the slide in a  manner other than what it was designed for,  which resulted in an injury to a child.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,05/06/2016,YWCAre at Harwell Elementary,142496,1270152315,4101 AVENUE D  LUBBOCK TX- 79404 2741
Based on information collected during the investigation the caregivers not were properly supervising the children at the time of the incident. The caregiver's did not see how the child was hurt and could not intervene quickly to prevent the child from being injured.,744.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/11/2016,Wilchester YMCA Afterschool,368406,1270175898,13618 SAINT MARYS LN  HOUSTON TX- 77079 3440
The caregiver did not check the child's feet when he complained of his feet hurting and did not provide first-aid.,744.2577(2) - Critical Illness or Injury -Give First Aid or CPR,High,08/08/2016,Clayton Child Care at  Liberty Elementary,274597,1270133960,1101 W MCDONWELL SCHOOL RD  COLLEYVILLE TX- 76034 7221
I observed a   play equipment on the playground that has a long opening that can cause an injury to the children and become a health and safety issue.,"744.3101(a)(7) - Safety Requirements for Active Play Equipment - No Pinch, Crush, or Shear Points",High,02/24/2017,Joyful Spring Child Care Center,1202579,1270012680,15330 WILLOW RIVER DR  HOUSTON TX- 77095 1713
Caregivers did not fill out an incident report for an injury that required medical attention and did not inform the parents what happened when the child picked up.,744.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,10/12/2016,Alphabest at Miller Elementary,1248489,1269879540,300 CYPRESS HILL DR  LITTLE ELM TX- 75068 5172
Caregiver did not demonstrate good judgment when placing an item within reach of a child resulting in the injury of a child.  Small child sustained an injury requiring immediate medical attention after a caregiver placed a hot object within the child's reach. The child was able to reach the hot object resulting in severe injuries.   Due to lack of caregiver's good judgement a child in care received a 2nd degree burn from a hot liquid.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,12/30/2016,Kids R Kids Daycare,238581,1270158491,920 N WARE RD  MCALLEN TX- 78501 3517
Investigation revealed that a caregiver did not use good judgment during diaper changing causing an infant to be injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,02/15/2017,Tahoka ISD Child Care,252393,1270163922,1925 AVE O  TAHOKA TX- 79373
This standard was tasked as it relates to the investigation: The director failed to demonstrate good judgment by failing to contact the parent of a child in care regarding injuries.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,10/03/2016,Childcare Network  #171,351531,1270169990,703 S CEDAR RIDGE DR  DUNCANVILLE TX- 75137 2203
A child received substantial scratch marks to the face.  The parent was not informed and became aware of the injuries when the pick up person observed the child's face and notified the parent.  It was at this point that the caregiver advised of the incident.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,11/16/2016,Lil Peas & Sprouts Learning Center,806548,1270125815,9589 BRAUN RD  SAN ANTONIO TX- 78254 6704
"Two caregivers failed to demonstrate competency when handling an emergency first-aid situation. The caregivers failed to follow first-aid protocol by not assessing the injury appropriately prior to moving the child, and failed to ensure the ongoing care for the remaining children in the groups while both caregivers took the injured child inside the operation.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,07/05/2016,Children's Learning Adventure Child CareCenter,1242827,1270129506,5151 S CUSTER RD  MCKINNEY TX- 75070 3160
Caregivers at the operation did not report possible abuse after several unexplained injuries.,"746.1201(5) - Responsibilities of Employees and Caregivers-Report Suspected Child Abuse, Neglect or Exploitation",High,11/14/2016,Thelma Cares Academy,147196,1270157778,7343 ALABONSON RD  HOUSTON TX- 77088 5304
"Based on information obtained during Investigation, caregiver was not properly supervising children when a bench in the restroom fell on a child's foot and cause an injury which required medical treatment.    There is insufficient information to indicate that biting is occurring in the class due to a lack of supervision.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/10/2017,Living Word Christian Academy,104287,1270168070,6601 ANTOINE DR  HOUSTON TX- 77091 1205
During an investigation it was found that a caregiver did not maintain audio and visual awareness of the children their in care.  The caregiver failed to intervene and a child in care sustained several injuries from another child in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,04/25/2017,Wagners Day Care,159866,1270166356,328 LORRAINE DR  WACO TX- 76707 3833
A child was not properly supervise while on play equipment this resulted in the child being injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,06/17/2016,Wanda Meshack Smith Head Start,237716,1270158367,3950 GANNON LN  DALLAS TX- 75237 2919
