NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
An incident report was not completed for an incident requiring medical attention.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,12/20/2017,318135
"The center failed to contact Licensing, when a child was injured, and received medical attention.      Note:  An intake report was created during the time of inspection.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/16/2016,94401
"Based on information obtained through interviews and parent contacts, parents were not notified that their child had been handled roughly by a caregiver.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,10/23/2017,97565
"The director's annual training did not include training in the following topics:  (1) Emergency preparedness;  (2) Preventing and controlling the spread of communicable diseases, including immunizations;  (3) Administering medication;   (4) Preventing and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,05/26/2017,501175
"A restraint was not necessary during this situation, which resulted a resident to get injured during a restraint.","748.2551(a) - EBI Implementation-Must be an appropriate response to the behavior demonstrated, and de-escalation must have failed",Medium High,01/26/2017,95099
This standard was evaluated in regards to a self report and compliance was not met.    A child in care received an injury that required medical attention and the parent was not informed. Parents must be notified immediately when a child receives an injury requiring medical attention.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,01/07/2018,101367
"Two of the beams surrounding the playground need to be replaced or repaired, it is broken and has exposed splinters that could cause injury to a child.  There is also a nail protruding out of one of the beams in front of the slide that needs to be removed or repaired.",746.4751(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,Medium High,07/29/2016,105728
"Based on information gathered, caregivers in the room did not supervise in such a way to intervene to prevent harm. As a result, a child in care sustained an injury to his mouth.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,02/27/2017,155887
"Based on information obtained, a caregiver failed to use good judgment causing a child to sustain an injury.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,02/03/2017,440250
The caregiver failed to intervene for the child in care causing an injury to a child in care by the maintenance personnel.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,08/30/2017,1128801
It was determined that a child in care received an injury that required medical attention. This incident was not reported to licensing.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,10/17/2017,476091
Based on the information obtained staff did not contact EMS when a child sustained a burn to the abdomen and thighs.,746.3607(1) - Critical Illness or Injury - Contact EMS,High,02/08/2016,570748
"Based upon the information obtained during the investigation, there was sufficient evidence available to support caregivers did not demonstrate competency and/or good judgment when a child was allowed to play on the playground area designated for older children.  As a result, a child sustained serious injuries when they fell from the tree house.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,03/16/2017,122714
Operation staff exercised poor judgement when they failed to properly asses the injury of the child.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,02/08/2017,196608
The operation did not notify licensing of a situation that placed children at significant risk for injury.,746.305(a)(5) - Report Situation Placing Children at Risk,High,08/24/2016,318236
"Based on the information obtained, the parent was not notified when the caregiver noticed a tiny bump on the child's inner lip.",746.307(b) - Parental Notification of Less Serious Injuries,Medium,06/02/2017,1005110
