NARRATIVE,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,DATE_CORRECTION_VERIFIED,OPERATION_ID
"The director fail to ensure that the person in charge was provided procedures on how comply with the minimum standards.  The fail to ensure the driver/caregivers have clear instructions in handling emergency breakdowns and accidents, including vehicle evacuation procedures, supervision of the children, and contacting emergency help. The director or designee in charge of the operation must know what action to take in responding to a transportation emergency call.  The director fail The procedures to follow in handling emergencies. Emergencies may include, but are not limited to, fire, explosion, tornado, toxic fumes, volatile persons, and severe injury or illness of a child or adult",744.1005(a)(1) - Director Responsibilities - Operate in Compliance,01/04/2016 12:00:00 AM,02/09/2016 12:00:00 AM,1132617
"Information obtained during investigation revealed that caregivers did not demonstrate good judgment  when allowing children to play on the slide in a  manner other than what it was designed for,  which resulted in an injury to a child.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",05/06/2016 12:00:00 AM,05/10/2016 12:00:00 AM,142496
"This standard was evaluated with regard to an investigation, and a violation was determined.  When staff are demonstrating how to play a game, the children literally follow every instruction provided.  Good judgment was not used when a caregiver demonstrated jumping on and off a basketball, which caused a child to get injured.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",01/06/2016 12:00:00 AM,01/20/2016 12:00:00 AM,1144968
"An injured child was not brought inside for first aid to be administered appropriately. Additionally, the parent was not given enough information about the injury to take him for medical attention in a timely manner.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/15/2015 12:00:00 AM,12/17/2015 12:00:00 AM,147560
"Based on evidence obtained during the investigation, a caregiver did not use good judgment when she failed to notify the site director that a child who had a recent concussion suffered a head injury while in care.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",01/14/2016 12:00:00 AM,01/29/2016 12:00:00 AM,218248
One of the two latchkey caregivers responsible for this group of children when a child was injured on the playground failed to use good judgment when the child notified them of his injury the latchkey caregiver never even checked the child's possible injury or rendered first aid if needed.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",05/26/2016 12:00:00 AM,05/24/2016 12:00:00 AM,109171
The operation allowed children to play a running Kickball game activity on the cement cover top area which lead to a child sustaining an injury while participating in this activity.  The operation failed to use good judgment when they allowed this child and other children to participate in this Kickball activity which requires running base to base on this cement cover top area.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",03/31/2017 12:00:00 AM,04/03/2017 12:00:00 AM,109047
"Chidlren were engaged in a ""curriculum exercise"" which included running and different  other exercises in the cafeteria area with not much room to move around due to the table/chairs that were set up. This placed many children at risk for injury.","744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",03/23/2016 12:00:00 AM,04/11/2016 12:00:00 AM,1153962
A caregiver and site director did not demonstrate good judgement when first aid was not administered and the parent was not notified of an injury to a child.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",05/01/2017 12:00:00 AM,05/04/2017 12:00:00 AM,325637
The operations latchkey caregiver lacked using  good judgment skills when she failed to contact the correct parent after a child was injured on their outside playground area.  This latchkey caregiver called another parent of a child with the same last name in their latchkey children's notebook which slowed down the emergency treatment for the injured child.,"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/21/2017 12:00:00 AM,04/21/2017 12:00:00 AM,118637
