STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
"747.3111(c) - Children Encouraged, Not Forced to Eat",0,0,1,0,False
"748.1101(b)(3) - Children's rights-Adhere to the child's rights to have his physical, emotional, developmental, educational, social and religious needs met",0,0,5,0,False
748.1101(b)(26) - Children's rights-Adhere to the child's right to participate in the development and review of his service plan,0,1,0,0,False
748.1101(b)(24) - Children's rights-Adhere to the child's right to not receive unnecessary or excessive medication,0,0,5,0,False
748.1101(b)(21) - Children's rights-Adhere to the child's right to confidential care and treatment,0,1,5,0,False
"748.1101(b)(2) - Children's rights-Adhere to the child's rights to be free from discrimination on basis of gender, race, religion, national origin, sexual orientation",0,0,1,0,False
"748.1101(b)(19) - Children's rights-Adhere to the child's right to have personal earnings, allowances, possessions, and gifts as his personal property",0,0,1,0,False
"748.1101(b)(16) - Children's rights-Adhere to child's right to send and receive uncensored mail, have telephone conversations, visitors and keep a personal journal",0,1,1,0,False
748.1101(b)(15) - Children's rights-Adhere to the child's right to maintain regular contact with his family unless not in the child's best interest,0,0,1,0,False
748.1101(b)(14) - Children's rights-Adhere to the child's right to be provided with adequate protective clothing against natural elements,0,1,0,0,False
"748.1101(b)(12) - Children's rights-Adhere to the child's right to have adequate personal clothing, suitable to his age and size and comparable with peers",0,1,0,0,False
748.1101(b)(11) - Children's rights-Adhere to the child's right to reasonable opportunities to participate in community functions,0,0,1,0,False
"748.1101(b)(10) - Children's rights-Adhere to the child's right to have training in personal care, hygiene, and grooming",0,0,1,0,False
"748.1101(b)(5) - Children's rights-Adhere to the child's rights to be free from any harsh, cruel, unusual, unnecessary, demeaning, or humiliating punishment",0,1,5,0,False
748.1101(b)(1) - Children's rights-Adhere to the child's rights to appropriate care and treatment in least restrictive setting available that meets the child's needs,0,0,2,0,False
748.107 - Conflict of interest policies-Code of conduct on the relationship between employees/contractors/children/families,0,0,1,0,False
748.105(8) - Personnel policies-Drug testing policy meets or exceeds DFPS' model policy in 745.4151,0,1,0,0,False
748.105(7) - Personnel policies-Ensure that persons working with children or with access to child info are informed in writing of confidentiality requirements,0,0,1,0,False
748.105(6) - Personnel policies-Ensure employees report serious incidents and suspected abuse/neglect and exploitation directly to DFPS,0,0,2,0,False
748.105(5) - Personnel policies-Ensure that personnel policies comply with background check requirements,0,0,2,0,False
"748.105(4) - Personnel policies-Develop written policies on whether caregivers may take children away for day/overnight visits, ensure policy meets requirements",0,0,1,0,False
748.105(1) - Personnel policies-Develop a written organizational chart showing administrative/professional/staffing structures and lines of authority,0,0,1,0,False
748.103(b) - Emergency Care Services- May exceed licensed capacity for not more than 48 hours; must notify Licensing within 24 hours of exceeding capacity,0,0,2,0,False
