Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,1201366,B&C Advance Learning Center,44918940,68159418,1543412,2292207,10/26/2016,12/20/2016,Y,N,Non-Serious,Other,scratch,Other,,Child in care at the operation
Licensed Center,857540,La Branch Child Development Center,44953505,68217266,1544599,2295629,11/8/2016,7/20/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1306686,All Star Learning Center,45160268,68605879,1552789,2318882,2/18/2017,7/12/2017,Y,N,Non-Serious,Other,sparined ankle,Other,,Child in care at the operation
Licensed Center,1425486,ABC Children's Learning Center,45167544,68620577,1553146,2320446,2/23/2017,6/6/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,Child fell,Child in care at the operation
Licensed Center,152450,Texarkana Special Education Center,45184832,68663644,1554278,2323093,3/7/2017,5/17/2017,Y,N,Non-Serious,Other,Bruise on the arms,Other,,Child in care at the operation
Licensed Center,1637648,Kiddie Academy of Woodforest,45191052,68678426,1554580,2323887,3/10/2017,7/6/2017,Y,N,Non-Serious,Contusion,,Self-Inflicted,Bumped head on crib and was accidently  hit in the head with a high chair,Child in care at the operation
Licensed Center,1378706,L.B.J. Creative Ideas Learning Academy,45196595,68693169,1554950,2324706,3/14/2017,7/10/2017,Y,N,Non-Serious,Other,Diaper Rash,Other,,Child in care at the operation
Licensed Center,1580817,Something Special Children's Center,45209774,68734151,1555998,2326799,3/24/2017,7/5/2017,Y,Y,Non-Serious,Other,tiny blood observed on head,Self-Inflicted,none,Child in care at the operation
Licensed Center,1631887,The Academy,45220382,68762059,1556720,2328868,4/1/2017,7/21/2017,Y,N,Non-Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,544279,A Kid's World,45220710,68762395,1556728,2328945,4/2/2017,7/12/2017,Y,N,Non-Serious,Other,Bump on forhead and scratches to face,Other,,Child in care at the operation
Licensed Center,1496573,Pooh Bear'z MK #3,45229377,68791215,1557412,2330717,4/7/2017,7/11/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,Child fell,Child in care at the operation
Licensed Center,1648895,Tyler Christian Preschool,45235215,68799680,1557658,2331137,4/12/2017,6/6/2017,Y,Y,Serious,Burn,,Other,,Child in care at the operation
Licensed Center,1558597,Stepping Stones Learning Center,45257348,68861058,1559274,2334967,4/27/2017,5/26/2017,Y,N,Serious,Burn,,Other,,Child in care away from the operation
Licensed Center,33868,World Of Children,45263446,68878093,1559744,2336183,5/2/2017,5/31/2017,Y,Y,Non-Serious,Other,Slappe on Face,Discipline,,Child in care at the operation
Licensed Center,503888,Bright Futures Child Development Center,45268266,68891037,1560070,2337019,5/4/2017,5/31/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
