operation_id,operation_name,location_address,corrected_date,narrative,county,number_descriptions ,technical_assistance,operation_type
101220,New Horizons Academy,551 BLUEBIRD LN  RED OAK TX- 75154 4252,1/3/17,Caregiver used prohibited punishment.,ELLIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
158731,ABC Child Development Center NO 3,202 W PASADENA BLVD  DEER PARK TX- 77536 4868,1/3/18,Based upon the information provided during the investigation the director used inappropriate discipline against a child in care by pulling the child's ear.,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
930631,Attitude Respect N Manners Learning Center,6612A HORNWOOD DR  HOUSTON TX- 77074 5010,1/3/18,Based upon the information obtained from the inspection there is significant evidence to support a caregivers has used ear pulling as a form of discipline.,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
930631,Attitude Respect N Manners Learning Center,6612A HORNWOOD DR  HOUSTON TX- 77074 5010,1/3/18,"Based upon the information obtained from the inspection there is significant evidence to support, a caregivers has used hitting as a form of discipline.",HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
193495,Kids Academy,1019 MAIN ST STE A BUDA TX- 78610 3392,1/3/18,Prohibited punishment was used by a caregiver.,HAYS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
96189,KinderCare Learning Center,7224 KINGSWOOD DR  FORT WORTH TX- 76133 6612,1/3/18,"Based on information obtained and observations made by a DFPS Investigator during an investigation conducted at your operation, it was determined that this standard was deficient.  Based on the information gathered during the investigation, it was determined that a caregiver inappropriately disciplined children by pinching the children on the ear.",TARRANT,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
96189,KinderCare Learning Center,7224 KINGSWOOD DR  FORT WORTH TX- 76133 6612,1/3/18,,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
808828,Willie F Cornelius Montessori Academy,6819 LAKE JUNE RD  DALLAS TX- 75217 1323,1/4/18,A caregiver used prohibited punishment by slapping a child on the hand.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1105161,Childcare Network #170,2020 S MACARTHUR BLVD  IRVING TX- 75060 6601,1/6/17,A caregiver used prohibited punishment by grabbing a child by the arm when disciplining the child.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
818828,Kinder Kollege Learning Center,2550 W RED BIRD LN STE 412 DALLAS TX- 75237 2314,1/6/17,The caregiver was hitting the children on the hand with a plastic spoon.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
167250,Knowledge Beginnings,6130 S FRY RD  KATY TX- 77494 7069,1/8/18,"Although measures are in place in the operation such as cameras in the classrooms in which the director monitors, a caregiver used inappropriate discipline when placing a child down for a nap.  The director addressed this with the caregiver.  The caregiver is no longer employed at the operation.",FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1180239,Texans Learning Center,1431 E SAM HOUSTON PKWY S  PASADENA TX- 77503 2313,1/9/18,The afterschool caregiver/bus driver was observed swatting her clipboard at a child when unloading the van. The same caregiver was also overheard utilizing an inappropriate tone with a child while in the operation.,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1178723,Bright Start Learning Center,751 S BELL BLVD  CEDAR PARK TX- 78613 3808,1/10/18,"Based on an investigation conducted by DFPS, there is sufficient evidence to find that a child was medically neglected while in care.  There was insufficient evidence to find that a child was abused.",WILLIAMSON,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1270196,Aladdin Day Care IV,14087 PEBBLE HILLS BLVD # C1 EL PASO TX- 79938 2616,1/11/18,"During the DFPS investigation, the DFPS Investigator found that a child walked out of the center without the Caregiver responsible for the child being aware of this. The child was found by a witness out on the street in front of the center. Due to the preponderance of the evidence found during the DFPS investigation, a finding of reason to believe for neglectful supervision was made.",EL PASO,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
1254543,Taylor ISD Child Development Center,1004 DELLINGER ST  TAYLOR TX- 76574 1500,1/11/18,During the course of the investigation it was found that there was a caregiver at the operation using inappropriate forms of discipline.,WILLIAMSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1132833,For Kids Only Child Learning Center,5210 DUCK CREEK DR  GARLAND TX- 75043 6801,1/12/18,A caregiver used inappropriate discipline toward a child.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
133172,Hollingsworth Head Start Center,900 S GRANT AVE  ODESSA TX- 79761 6610,1/12/18,A caregiver neglected a 3 y/o child with special needs when the child left the classroom and then exited the operation. The child was placed at risk from several factors and due to his age and special needs he is not capable of protecting himself.,ECTOR,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
922008,Plum Creek Head Start,6969 SOUTH LOOP E  HOUSTON TX- 77087 2357,1/12/18,"Based on the information obtained, it is concluded that prohibited punishments have been exhibited by the caregivers to the children that are in care.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1144942,Arkaso Pre-school & After-school Program,9720 COIT RD STE 111 PLANO TX- 75025 5942,1/13/17,This standard was evaluated as part of an investigation. This standard was found to be deficient. Based on the information obtained a child was left unsupervised on a vehicle for approximately two hours.,COLLIN,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
805188,Metro Christian Academy,935 S CLARK RD  CEDAR HILL TX- 75104 3310,1/13/17,"A child exited the building unsupervised after a caregiver allowed the child to walk to another room to be with another caregiver. The caregiver responsible for the child had not informed the other caregiver that the child was going to the other room. The caregiver did not ensure that the child entered the other room, and the child ended up exiting the building on their own. It was determined that the child may have been unsupervised outside in excess of 20 minutes.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
267463,Triple L Ranch Child Development Center,737 W COUNTY LINE RD  NEW BRAUNFELS TX- 78130 8314,1/15/18,"Based on the information obtained during this investigation, it has been determined a caregiver used her hand to hit a child on the butt as the child was trying to stand on her head.  The caregiver meant no harm to the child but was trying to get the child's attention after repeatedly asking the child to be careful.  The child whimpered with no tears and the hit did not cause any marks.    The citation was corrected by management once they were made aware of the incident. Management intervened and took the necessary steps for the operation staff to meet compliance regarding appropriate discipline and guidance.",GUADALUPE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
162125,Centerville Learning Center,407 W CENTERVILLE RD  GARLAND TX- 75041 5443,1/16/18,A caregiver used harsh punishment by grabbing a child by the arm.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1253590,House of Tots Molo Montessori School,3522 MIRROR CT  SPRING TX- 77388 5134,1/17/17,"Based on information obtained, there is sufficient evidence to conclude that a caregiver placed their hand on a child as a form of discipline.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
282985,KinderCare Learning Center,4241 MARSH LN  CARROLLTON TX- 75007 1720,1/17/17,Hash and unusual punishment was used when a caregiver pulled children's ears when telling them to move to another area in the classroom.,DENTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
257924,Tot Spot Children's Daycare,6503 S FLORES ST  SAN ANTONIO TX- 78214 2627,1/17/17,A caregiver left a room of children unattended which resulted in one child assaulting another child.,BEXAR,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
98333,Donna I Head Start,1402 SILVER AVE  DONNA TX- 78537 3332,1/20/17,"Based on the information gathered during the investigation, caregiver used prohibited punishment as a form of discipline. A child was not allowed to sit down while eating lunch.",HIDALGO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
137492,Navarro Place Head Start Center,120 N 19TH ST  CORPUS CHRISTI TX- 78408 4002,1/20/17,"Based on the information gathered and surveillance of video, a caregiver used harsh, cruel, and unusual punishment towards three children. The caregiver was observed rolling a child off their cot while sleeping, yanking a child by the arm, and tossing a special needs child across the floor.",NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
164280,Opportunity School Grand Street,1525 N GRAND ST  AMARILLO TX- 79107 7195,1/20/17,Based on the evidence obtained during the investigation a caregiver was reckless when providing discipline and injured a child.,POTTER,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
901908,Tot Town I Child Development Center,1255 BROADWAY ST  BEAUMONT TX- 77701 2107,1/20/17,This standard was evaluated in reference to an investigation and determined to be deficient. A child was left on a locked vehicle for approximately 5-10 minutes. The operation has since taken additional measures to ensure children's safety during transportation.,JEFFERSON,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
133289,Val Verde Baptist Church Child Care,3900 CLEVELAND AVE  GROVES TX- 77619 5261,1/22/18,It is determined through interviews that inappropriate discipline was used by a caregiver.  This has been corrected; caregiver is no longer employed with the operation.,JEFFERSON,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
1251928,Little Rascal's Daycare & Learning Center (Pittsburg Campus),406 BROACH ST  PITTSBURG TX- 75686 1075,1/25/17,Based on the information gathered a child was disciplined inappropriately at the operation.,CAMP,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
100830,Our Kids Treehouse,1106 COLQUITT RD  TERRELL TX- 75160 1424,1/27/17,"During the investigation, it was determined that a caregiver at the operation is using prohibited forms of punishment on the children in care",KAUFMAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
231277,Growing Center,5800 SOUTHWEST PKWY  WICHITA FALLS TX- 76310 2931,1/31/17,Investigation concludes a caregiver used prohibited punishment of hitting to a child in care at the operation.,WICHITA,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
275098,Primrose School,3125 EAGLE RANCH BLVD  FORT WORTH TX- 76179 2224,2/1/17,"This standard was evaluated in regards to an investigation. It was determined  during the course of the investigation a caregiver was inappropriately disciplining children. Some examples  include chairs being moved while  children were standing so that the children would fall. Some of the children were  spanked, and some children were called derogatory names. The caregivers have been terminated.",TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
95054,Methodist Childrens Center of Athens First United Methodist,225 LOVERS LN  ATHENS TX- 75751 2912,2/2/17,A caregiver hit a child with her hand.,HENDERSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1117498,Summit Christian Learning Center,2575 MARSHALL RD  SAN ANTONIO TX- 78259 1608,2/3/16,"Based on the information gathered during the investigation, a caregiver was seen redirecting children in a wrong manner.  There were no marks ever seen or reported by anyone.  An investigation was immediately conducted by the center.  The caregiver is no longer working at the center.",BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
440250,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,2/3/17,"Based on information obtained, a child was inappropriately disciplined.",COLLIN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
440250,Kids R Kids of West Allen,1223 N ALMA DR  ALLEN TX- 75013 4695,2/3/17,"Based on information obtained, there is reason to believe that physical abuse occurred.",COLLIN,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1176136,The Pineapple School at Stone Oak,20615 HUEBNER RD  SAN ANTONIO TX- 78258 4292,2/3/17,A caregiver inappropriately disciplined a child by pulling the child's hair.,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
