OPERATION_NAME,LOCATION_ADDRESS,COUNTY,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,NARRATIVE,TECHNICAL_ASSISTANCE_GIVEN,OPERATION_TYPE
Handprints Child Care 10 LLC dba Handprints Academy,3401 W STAN SCHLUETER LOOP  KILLEEN TX- 76549 5677,BELL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/20/2017 12:00:00 AM,A caregiver used an inappropriate method of discipline when she tugged on a child's ear to re-direct the child's behavior.    This was corrected prior to inspection as the caregiver was terminated.,NO,Licensed Center
Good Samaritan Center,1600 SALTILLO ST  SAN ANTONIO TX- 78207 6842,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/23/2017 12:00:00 AM,Based on the information obtained through the investigation it was determined the caregiver pulled a child?s ponytail and held the child?s arms behind the child?s back as a form of discipline.,YES,Licensed Center
Tuck Street Early Education Center,2111 E TUCK ST  SHERMAN TX- 75090 4112,GRAYSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/26/2017 12:00:00 AM,This standard was evaluated due to an investigation at the operation and found to be out of compliance when caregiver used a  yard stick to discipline a child in care.,NO,Licensed Center
Kindercare Learning Center No.266,2524 MCDONALD RD  TYLER TX- 75701 5932,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/07/2016 12:00:00 AM,Based on the information gathered a caregiver is thumping children in care.,NO,Licensed Center
Kindercare Learning Center No.266,2524 MCDONALD RD  TYLER TX- 75701 5932,SMITH,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/15/2017 12:00:00 AM,Based on information received it was determined that a caregiver was inappropriate in disciplining a child in care.,NO,Licensed Center
Kindercare Learning Center No.266,2524 MCDONALD RD  TYLER TX- 75701 5932,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/31/2016 12:00:00 AM,This standard was evaluated as part of an investigation and found to be deficient. A teacher uses inappropriate discipline by thumping children when they don't follow the rules.,NO,Licensed Center
YWCA Child Development Center,3101 34TH ST  LUBBOCK TX- 79410 3227,LUBBOCK,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/29/2016 12:00:00 AM,Information obtained during the investigation revealed that a caregiver hit a child.,YES,Licensed Center
Pilgrim Lutheran,8601 CHIMNEY ROCK RD  HOUSTON TX- 77096 1304,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/27/2017 12:00:00 AM,Based upon the information obtain during the investigation a caregiver would squeeze children's hands as a form of discipline when the children would not want to sleep.,YES,Licensed Center
Singing Hills Baptist Church Learning Center,6550 UNIVERSITY HILLS BLVD  DALLAS TX- 75241 3607,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,09/29/2016 12:00:00 AM,This standard was reviewed due to an investigation and was found to be deficient. A caregiver hit a child and placed the child against the wall forcefully.,YES,Licensed Center
Singing Hills Baptist Church Learning Center,6550 UNIVERSITY HILLS BLVD  DALLAS TX- 75241 3607,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/29/2016 12:00:00 AM,A child was pulled on and nudged with a caregivers foot to move out of the way. The caregiver also played with the child in a rough manner.,YES,Licensed Center
Singing Hills Baptist Church Learning Center,6550 UNIVERSITY HILLS BLVD  DALLAS TX- 75241 3607,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/11/2016 12:00:00 AM,Based on the interviews conducted dung the investigation it was determined that a caregiver did use inappropriate discipline with children in care. It was determined by the operation to exclude the caregiver effective immediately.,YES,Licensed Center
Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",06/07/2017 12:00:00 AM,A caregiver bit a child in care as a form of punishment for biting another child.,YES,Licensed Center
Safe Harbor Learning Center,11701 JACKSBORO HWY  FORT WORTH TX- 76135 9192,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/05/2017 12:00:00 AM,A caregiver was observed using prohibited punishment when the caregiver yanked the child by the arm which could have led to an injury when placing the child in time out.,YES,Licensed Center
"Let's Learn Christian Learning Center, Inc.",1511 N 10TH ST  BAYTOWN TX- 77520 5377,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/16/2016 12:00:00 AM,Based on the information obtained from the investigation the operation staff hits the children with open hand.,YES,Licensed Center
Pyes DC,5437 MAYWOOD DR  HOUSTON TX- 77053 3208,FORT BEND,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/06/2016 12:00:00 AM,"Based on the information obtained during the investigation., there is sufficient evidence to support the allegation that a caregiver has hit several children.",YES,Licensed Center
Instruction Junction,855 S 8TH ST  BEAUMONT TX- 77701 4603,JEFFERSON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/05/2016 12:00:00 AM,"This standard was evaluated in regards to a report received and compliance was not met.    A caregiver is using inappropriate methods of discipline with children. A caregiver is yelling, yanking, pulling and humiliating children as methods of discipline.",YES,Licensed Center
Komal's Love and Care Academy,11609 ALIEF CLODINE RD  HOUSTON TX- 77082 2601,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/15/2016 12:00:00 AM,Information gathered supports the allegation of a caregiver using profane language in the presence children in care. Information gathered does not support the allegation of caregivers yelling at children in care.,NO,Licensed Center
Grandma's House Child Care and Learning Center,746 N ALAMO RD  ALAMO TX- 78516 2538,HIDALGO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/11/2017 12:00:00 AM,A caregiver used inappropriate discipline on a child when the child was verbally threatened by the caregiver if a toy was not returned back to the caregiver.,YES,Licensed Center
Uptown Kids Childcare and Learning Center,498 SPENCE RD  VAN ALSTYNE TX- 75495,GRAYSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/21/2017 12:00:00 AM,This standard was evaluated as part of an investigation and found to be deficient.  Caregivers are spanking children in are on the bottom with their hand.,YES,Licensed Center
Aunt Faye Early Learning Academy,2638 S BECKLEY AVE  DALLAS TX- 75224 2936,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/24/2017 12:00:00 AM,Children in care are disciplined by being spanked by the caregiver with a hand or belt.,NO,Licensed Center
Aunt Faye Early Learning Academy,2638 S BECKLEY AVE  DALLAS TX- 75224 2936,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/24/2017 12:00:00 AM,A child was disciplined by being pinched on the arm.,NO,Licensed Center
