,OPERATION_ID,ACTIVITY_ID,SECTION_ID,NON_COMPLIANCE_ID,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_AT_INSPECTION,CORRECTED_DATE,DATE_CORRECTION_VERIFIED,NARRATIVE,TECHNICAL_ASSISTANCE_GIVEN,OPERATION_TYPE,OPERATION_NUMBER,OPERATION_NAME,PROGRAMS_PROVIDED,LOCATION_ADDRESS,MAILING_ADDRESS,PHONE_NUMBER,COUNTY,WEBSITE_ADDRESS,ADMINISTRATOR_DIRECTOR_NAME,TYPE_OF_ISSUANCE,ISSUANCE_DATE,CONDITIONS_ON_PERMIT,ACCEPTS_CHILD_CARE_SUBSIDIES,HOURS_OF_OPERATION,DAYS_OF_OPERATION,OTHER_SCHEDULE_INFORMATION,TOTAL_CAPACITY,OPEN_FOSTER_HOMES,OPEN_BRANCH_OFFICES,LICENSED_TO_SERVE_AGES,CORRECTIVE_ACTION,ADVERSE_ACTION,TEMPORARILY_CLOSED,PROGRAMMATIC_SERVICES,TREATMENT_SERVICES,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,TOTAL_REPORTS,TOTAL_SELF_REPORTS,Location_address_geo,email_address,ACTIVITY_DATE,ACTIVITY_TYPE,SELF_REPORT,VIOLATION_FOUND,potential_injury
0,1170001,428389554,1881187325,1270027139,747.605(2) - Required Admission Information - Address and Phone Number,Medium High,Y,01/12/2018 12:00:00 AM,,Three children's home address were incorrect on admission forms.   The provider corrected the address during inspection.,YES,Registered Child-Care Home,1558508,Christy Luong,"School Age Care,Before School Care,After School Care,Weekend Care",8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,2817451463.0,HARRIS,,,Registered,01/23/2015,YES,N,08:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,12.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,4,1,0,1,2,0,0,0,"8719 SHADOW EDGE CIR HOUSTON TX- 77095 5725
(29.909326, -95.656157)",,01/12/2018 01:05:00 PM,INSPECTION,,Yes,False
1,1170001,428389554,1881187326,1269897175,747.1309(j) - Primary Caregiver Annual Training - Self- Instructional up to 80%,Low,N,01/26/2018 12:00:00 AM,,The provider completed all 30 hours of annual trainings online through A&M Online Extension.,YES,Registered Child-Care Home,1558508,Christy Luong,"School Age Care,Before School Care,After School Care,Weekend Care",8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,2817451463.0,HARRIS,,,Registered,01/23/2015,YES,N,08:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,12.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,4,1,0,1,2,0,0,0,"8719 SHADOW EDGE CIR HOUSTON TX- 77095 5725
(29.909326, -95.656157)",,01/12/2018 01:05:00 PM,INSPECTION,,Yes,False
2,1170001,428389554,1881187327,1269962328,"747.3203 - Sanitation of Building, Grounds and Equipment",Medium High,N,02/02/2018 12:00:00 AM,,It was observed drawings and scribles on the wall through out the child care home.,YES,Registered Child-Care Home,1558508,Christy Luong,"School Age Care,Before School Care,After School Care,Weekend Care",8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,2817451463.0,HARRIS,,,Registered,01/23/2015,YES,N,08:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,12.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,4,1,0,1,2,0,0,0,"8719 SHADOW EDGE CIR HOUSTON TX- 77095 5725
(29.909326, -95.656157)",,01/12/2018 01:05:00 PM,INSPECTION,,Yes,False
3,1170001,428389554,1881187326,1270060106,747.1309(e) - Primary Caregiver Annual Training - Required Special Topics without specific hours,Medium,N,01/26/2018 12:00:00 AM,,"Provider has not completed four out of six  additional topic trainings as required.  -Emergency preparedness  -Preventing and controlling the spread of communicable diseases, including immunizations  -Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic  -Handling, storing, and disposing of hazardous materials.",YES,Registered Child-Care Home,1558508,Christy Luong,"School Age Care,Before School Care,After School Care,Weekend Care",8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,8719 SHADOW EDGE CIR  HOUSTON TX- 77095 5725,2817451463.0,HARRIS,,,Registered,01/23/2015,YES,N,08:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,12.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,4,1,0,1,2,0,0,0,"8719 SHADOW EDGE CIR HOUSTON TX- 77095 5725
(29.909326, -95.656157)",,01/12/2018 01:05:00 PM,INSPECTION,,Yes,True
4,165584,428418283,1881365620,1270174492,746.5617(b) - Driver Has Current Driver's License,High,N,11/03/2016 12:00:00 AM,11/16/2016 12:00:00 AM,The driver did not have a current drivers license.,NO,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,False
5,165584,428418283,1881365620,1270174481,746.5617(a)(1) - Required Equipment in Vehicles - List of Children,High,N,11/03/2016 12:00:00 AM,11/16/2016 12:00:00 AM,The driver did not have a list of children that were being transported.,YES,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,False
6,165584,428418283,1881365620,1270174486,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,N,11/03/2016 12:00:00 AM,11/16/2016 12:00:00 AM,The operation did not show good judgment when  they allowed the children to sit in other children's lap.,YES,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,False
7,165584,428418283,1881365620,1270174489,746.5617(a)(2) - Required Equipment in Vehicles - Emergency Medical Information,High,N,11/03/2016 12:00:00 AM,11/16/2016 12:00:00 AM,The driver did not have emergency contact information for the children in the vehicle.,YES,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,False
8,165584,428418283,1881365620,1270174484,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,Y,10/06/2016 12:00:00 AM,,A child received medical attention and it was not reported to licensing.,YES,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,True
9,165584,428418283,1881365620,1270174487,746.5607(c) - Safety Seat System - Child 12 Yr and Younger Must Not Ride in Front Seat,Medium High,N,11/03/2016 12:00:00 AM,11/16/2016 12:00:00 AM,A child under 12 years of age was riding in the front seat while being transported to school.,YES,Licensed Center,549391,Malaika's Academy,"School Age Care,Before School Care,Children with Special Needs,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School",1121 S EWING AVE  DALLAS TX- 75216 1115,1121 S EWING AVE  DALLAS TX- 75216 1115,2149415112.0,DALLAS,,Royce Givens,Full Permit,09/27/2000,NO,Y,05:00 AM-07:00 PM,"Mon,Tue,Wed,Thu,Fri",,95.0,0,0,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,11,19,8,3,2,20,0,6,0,"1121 S EWING AVE DALLAS TX- 75216 1115
(32.735345, -96.811458)",roycegivens@ymail.com,10/05/2016 08:52:00 PM,REPORT,N,Yes,False
